artist_name,genre,total_artist_weighted_acousticness,total_artist_weighted_danceability,total_artist_weighted_energy,total_artist_weighted_instrumentalness,total_artist_weighted_liveness,total_artist_weighted_speechiness,total_artist_weighted_valence
Job For A Cowboy,metal,0.004212266935918583,0.3599213706600951,0.952446443408606,0.38355777468151625,0.31363860297056234,0.14586483891671273,0.19444068125052555
Kalmah,metal,1.3941390106457402e-05,0.3195755050494546,0.9673945648171177,0.7839254963838977,0.18375437511837148,0.0988721067091931,0.29830474308911464
Mastodon,metal,0.002623025324123505,0.26071053156879986,0.9183714692065529,0.501116438344614,0.27623424326685375,0.10287950748062834,0.1983364347464909
Meshuggah,metal,0.013124925834338223,0.3572248915312259,0.8591648035974601,0.49749904066253725,0.2713350993826155,0.09660080078929781,0.24893790474811037
Morbid Angel,metal,0.03148099164422179,0.3483589228067848,0.904035095253354,0.3271302019856173,0.28115432579458954,0.10080361480793303,0.21370632476471016
Neurosis,metal,0.07841748406690505,0.23693235125394385,0.5937620035593929,0.5955170055396772,0.22112695207465116,0.05909586152826263,0.1300976387525099
Nile,metal,0.025261967972576696,0.2867479524566697,0.8723772009378712,0.6664201663278273,0.19773895236597394,0.0954688730206508,0.11683475107647952
Obscura,metal,0.020005230061458486,0.3559815365774968,0.9391597708320187,0.256152132712847,0.1769769043482082,0.1299199544466518,0.16873397105910892
Periphery,metal,0.003084847670555912,0.4221761685316191,0.9376048742545552,0.1517174031764485,0.23234748863332927,0.12677773732456668,0.21567404894044484
Primordial,metal,0.012983296395400868,0.19934722442002642,0.8320751491849534,0.38945099045672904,0.356028044976852,0.07365021091622008,0.18316293114202306
Protest The Hero,metal,0.008060068300935627,0.3006510489559981,0.9122274961124733,0.20370951318485706,0.3083460403544683,0.15349153290757617,0.2671556086004382
Scar Symmetry,metal,0.0015388118177541708,0.38573149186065536,0.9715723729486669,0.08845723425722568,0.24501626119644887,0.09947327640515959,0.259592060034837
Skyfire,metal,0.00023722589437669467,0.29893547840607626,0.9165226515982164,0.49184059302996147,0.2018119473726845,0.10732135564387586,0.29355226667789264
Soilwork,metal,0.002423887860980155,0.38146667341990637,0.9499676245414972,0.3545825925066303,0.3215458988643498,0.09990471118284566,0.2774063768430161
Strapping Young Lad,metal,0.008426011073341223,0.3121712781797222,0.9354594216819342,0.27665990370020555,0.40747760742708855,0.12601931962177,0.13339196971723558
Suicide Silence,metal,0.009358676766576318,0.3296988562221979,0.9457872520110826,0.2973960660778095,0.4094063607342687,0.16608957950089892,0.19978068498632823
TesseracT,metal,0.07346870422539374,0.389528448098008,0.7304954770585914,0.25958010906455414,0.19851574618117135,0.05533588342520192,0.1942369988137362
Underoath,metal,0.052613921124605174,0.3365218916124201,0.8912581094452011,0.13399062424218394,0.28059931650811376,0.12190816152404486,0.2065781763136286
Vader,metal,0.0058437095508790254,0.3203490702384549,0.9361805105788624,0.3512330833679033,0.24616557371774792,0.11824857265775097,0.19688038205799047
Wintersun,metal,0.00034102301140498175,0.2716125387086842,0.8665681870579635,0.4678402216999039,0.35945134059925443,0.10611732276100538,0.16082242140282296
*NSYNC,pop,0.169964049950785,0.6182373090447999,0.7015973711953345,0.008702651900987738,0.23264051828444046,0.049321259872743155,0.5891734102015714
Adele,pop,0.3529633554281325,0.5779774911179523,0.574885985860074,0.10120699026010749,0.12607284830322985,0.053108963806573845,0.37783549293528335
Alanis Morissette,pop,0.12221406164495946,0.4964766366744572,0.7038358658181187,0.04868836710573124,0.3196970714877329,0.05473721625538452,0.4003264673383534
Ariana Grande,pop,0.18091290832952647,0.6364227288325275,0.6515855838441912,0.02279476430781524,0.1999264691327486,0.08518702916933767,0.4621465090731495
Avril Lavigne,pop,0.1102021618734927,0.5233462983725996,0.80216865618351,0.01898348838529828,0.33662039469857097,0.07348577824140691,0.4892943791156025
Backstreet Boys,pop,0.12208813605177295,0.6194521281164317,0.7121017371968698,0.007683166047621847,0.18607959921642056,0.0473861326721051,0.5106278127839448
Beyoncé,pop,0.15364299483174293,0.562771617450078,0.7076888771772766,0.07513036227873457,0.32343095747987305,0.1576779086539446,0.44913458593131195
Boyz II Men,pop,0.35685525284543435,0.5798848770905358,0.5463192969938572,0.0038128422459769305,0.16249475231023158,0.052965322671383756,0.46113962881831677
Britney Spears,pop,0.10160800446811909,0.7089499962902573,0.7741858949975585,0.12190401343423957,0.1773791960144602,0.0657766955285481,0.6080775756523673
Bruno Mars,pop,0.1622954553878195,0.6693313618544504,0.6973568844956605,0.028069437368055887,0.1892906683899905,0.061347328814952556,0.5534171824629222
Calvin Harris,pop,0.10550010090986746,0.6985159759733918,0.7950562884169,0.21358882449831,0.21607720389883386,0.06891684974392924,0.5414999800102495
Céline Dion,pop,0.45193487382523745,0.47000718235360334,0.5365128930533126,0.0025649257586886852,0.3305923853844929,0.04893023689299459,0.3110276529564577
Chris Brown,pop,0.09691500256191318,0.6414228266825329,0.6172511593440044,6.469694199208013e-07,0.13888894724236311,0.13433826981046504,0.5041525864250509
Christina Aguilera,pop,0.17430711466845406,0.6352354024411675,0.7087071282094448,0.11846121114736072,0.24996794184315432,0.09012699767537563,0.4334559776597029
Destiny's Child,pop,0.16545426043476308,0.7002868455947919,0.6543976178311764,0.07891523826861799,0.16107355805858667,0.11045371119702672,0.5916005511996563
Ed Sheeran,pop,0.5003324857284465,0.6288143775237872,0.5546046064722366,0.017052892761691783,0.276253203830454,0.11521345767500152,0.5183562352281549
Ellie Goulding,pop,0.19852199719760594,0.5401817260028651,0.7144882824304881,0.04502092663043593,0.16498101168404186,0.05240434441713186,0.391709208021933
Enrique Iglesias,pop,0.21276337906389284,0.6262104415441454,0.7300415179949071,0.006748853968157144,0.15795931019200238,0.048355416279667496,0.5367597844027672
Hootie & The Blowfish,rock,0.11937968393610841,0.34611159598362135,0.6855053052050225,0.00019813464510522546,0.4678812985741447,0.05299070185619172,0.5208163640980561
Janet Jackson,pop,0.23685071202222935,0.6853186166088979,0.6890891870493834,0.056888775667052444,0.2164402752505203,0.07300619790317996,0.5764753296793936
Jason Derulo,pop,0.1515355726484151,0.6187725901231469,0.7281951615689131,0.01013065905499538,0.23219470479762347,0.11647539767511203,0.5611910130485958
Jennifer Lopez,pop,0.16942709729150518,0.6700777228690186,0.7134321694912495,0.007268918505303897,0.17358034896019625,0.08948042613278606,0.5609864172108502
Justin Bieber,pop,0.17969713413324515,0.6199772556293619,0.6921943217285804,0.06145405178178186,0.20133558110138516,0.07206813205009588,0.5081155106312832
Justin Timberlake,pop,0.17528277544095874,0.6454706053178239,0.6594524540912561,0.24503591816312886,0.17669076804287978,0.0726651016016915,0.5541520374831205
Katy Perry,pop,0.11940676184721985,0.6271956807716962,0.7097189970772069,8.467131647367786e-05,0.20178358750293873,0.059794553359916396,0.511415627385109
Kelly Clarkson,pop,0.14412727091307656,0.5505866304342066,0.7180429363825652,0.008458919270509365,0.21272661044093313,0.06459725775766478,0.44461948310829186
